year,month,day,hour,PM2.5,PM10,SO2,CO,NO2,O3,TEMP,DEWP,HUMI,PRES,wd,WSPM
2014,1,1,0,57,152,16,1.8,110,4,-1.5,-12.46683294,43,1007.3,SE,0.6
2014,1,1,1,68,179,19,1.8,116,NA,-2.6,-12.10880487,48,1006.9,CV,0.2
2014,1,1,2,81,240,27,2.6,112,NA,-3,-11.24214849,53,1006.9,SW,0.6
2014,1,1,3,95,229,40,3,110,NA,-3.3,-11.05774255,55,1006.4,SW,0.6
2014,1,1,4,95,206,51,2.5,110,NA,-2.7,-10.49591844,55,1006.1,NE,1.8
2014,1,1,5,89,234,34,3.2,113,NA,-3.1,-10.42034446,57,1006.6,NW,1
2014,1,1,6,95,253,32,3.5,115,NA,-2.6,-10.86911666,53,1007.2,SE,1
2014,1,1,7,88,207,30,4.4,112,NA,-2.9,-10.23234405,57,1007.9,SE,1.1
2014,1,1,8,69,169,28,4,117,NA,0,-8.44544591,53,1008.8,NW,1.5
2014,1,1,9,67,169,29,3.8,119,NA,9,-11.60531143,22,1009.6,NW,1.9
2014,1,1,10,47,109,30,1.6,114,NA,10.3,-11.70560256,20,1009.4,NW,1.7
2014,1,1,11,28,72,23,0.4,117,NA,10.7,-11.37200468,20,1009.1,NW,3.4
2014,1,1,12,27,66,19,0.4,130,NA,11.8,-11.10073381,19,1008.3,NW,2.8
2014,1,1,13,24,64,17,0.4,143,NA,12.3,-11.36560422,18,1007.9,NW,3.7
2014,1,1,14,23,59,15,0.4,136,NA,12.6,-11.11857289,18,1008.4,NW,2.8
2014,1,1,15,21,66,14,0.4,124,NA,12.3,-10.6864847,19,1008.8,NW,0.9
2014,1,1,16,25,60,13,0.4,122,NA,7.5,-10.78730165,26,1009.4,SW,0.7
2014,1,1,17,26,66,12,0.5,124,NA,3.3,-10.71765601,35,1009.9,NW,1.3
2014,1,1,18,42,96,13,1.1,146,NA,1.7,-10.78748772,39,1010.5,SW,0.8
2014,1,1,19,88,148,16,1.8,157,NA,0.5,-9.791674831,46,1011.2,SW,0.6
2014,1,1,20,109,175,20,2.5,164,NA,-0.5,-9.910791071,49,1011.7,CV,0.2
2014,1,1,21,130,217,23,3.1,165,NA,-1.4,-9.278943751,55,1012.5,CV,0.1
2014,1,1,22,130,217,23,3.1,165,NA,-1.8,-8.75767712,59,1013.1,NE,1
2014,1,1,23,135,230,30,4,163,NA,-2.4,-8.689831602,62,1013,CV,0.5
2014,1,2,0,141,231,30,5.8,148,NA,0,-8.689791192,52,1012.9,NE,1.3
2014,1,2,1,138,234,32,7,147,NA,0.5,-9.518346746,47,1013.4,NE,0.7
2014,1,2,2,145,235,36,5.5,137,NA,-1.2,-9.325849556,54,1013.7,NE,1
2014,1,2,3,118,176,38,4.3,127,NA,-0.7,-9.340787634,52,1013.6,NE,0.6
2014,1,2,4,110,163,35,4.8,120,NA,-0.8,-9.433798031,52,1013.7,NE,1.9
2014,1,2,5,104,154,35,5.1,114,NA,-0.4,-9.818388069,49,1014,NE,1.3
2014,1,2,6,90,126,33,3.1,105,NA,-1.1,-9.470625957,53,1014.4,NE,2
2014,1,2,7,93,137,32,2.6,101,NA,-1.3,-8.286077292,59,1015.1,NE,1.5
2014,1,2,8,163,230,33,4.5,103,NA,-0.6,-6.366902977,65,1015.4,CV,0.5
2014,1,2,9,176,242,35,5.3,102,NA,1.9,-4.828631515,61,1015.3,NE,2.2
2014,1,2,10,152,214,40,4.4,106,NA,2.9,-4.784472474,57,1014.4,NW,0.9
2014,1,2,11,135,177,47,3.7,112,NA,4.2,-5.043511528,51,1012.9,NE,1.4
2014,1,2,12,145,179,52,3.7,131,NA,6.1,-4.95012925,45,1011.5,NE,0.8
2014,1,2,13,160,196,59,3.7,157,NA,7.4,-5.326024245,40,1010.3,CV,0.5
2014,1,2,14,167,200,62,3.6,187,NA,7.9,-5.210093636,39,1009.7,NW,1.3
2014,1,2,15,155,177,61,3.4,200,NA,7,-5.361494572,41,1009.9,CV,0
2014,1,2,16,138,158,56,3,196,NA,3.7,-5.506925363,51,1009.9,SW,1.6
2014,1,2,17,150,195,51,3.7,195,NA,2,-5.174926472,59,1010.5,CV,0.5
2014,1,2,18,165,228,48,4,190,NA,0.6,-5.427751967,64,1010.4,CV,0
2014,1,2,19,186,247,46,4.3,187,NA,1.4,-4.875433474,63,1010.8,NE,1.1
2014,1,2,20,195,266,46,5.5,185,NA,3.5,-4.938658866,54,1011.5,NE,1.3
2014,1,2,21,201,263,48,5.7,180,NA,2.8,-5.112336314,56,1011.8,CV,0
2014,1,2,22,213,250,53,5.1,176,NA,0.5,-4.722225275,68,1012.1,NE,1.3
2014,1,2,23,209,244,52,5.2,170,NA,3.1,-5.069621497,55,1012.2,CV,0.2
2014,1,3,0,217,255,49,5.8,164,NA,4.1,-7.672774734,42,1012.8,NE,1.7
2014,1,3,1,175,181,51,3.7,160,NA,6.2,-10.97767485,28,1013.1,NW,2.4
2014,1,3,2,80,101,49,1.7,143,NA,5.9,-11.69291708,27,1013.7,NE,2
2014,1,3,3,44,107,39,0.8,119,NA,5.2,-11.84505983,28,1014,NE,2.6
2014,1,3,4,34,140,28,0.8,100,NA,5.3,-12.21134152,27,1014.2,NW,3.1
2014,1,3,5,40,163,22,0.6,87,NA,4.6,-12.36572032,28,1014.5,NW,3
2014,1,3,6,44,169,18,0.4,70,NA,3.7,-12.29302307,30,1015.7,NE,4.3
2014,1,3,7,41,148,16,0.6,64,NA,3.4,-12.14830374,31,1016.9,NW,3.2
2014,1,3,8,38,130,16,0.7,74,NA,4.1,-11.94314279,30,1018.2,NE,2.2
2014,1,3,9,41,119,17,0.7,74,NA,5.9,-11.69291708,27,1018.8,NE,3.1
2014,1,3,10,40,119,17,0.7,74,NA,6.7,-11.96483706,25,1018.6,NE,2.9
2014,1,3,11,40,107,18,0.6,78,NA,7.4,-11.87563817,24,1017.5,NE,2
2014,1,3,12,40,110,19,0.6,56,NA,8.5,-11.47223112,23,1016.3,NE,2
2014,1,3,13,24,49,17,0.4,90,NA,9,-11.60531143,22,1015.7,NE,2.7
2014,1,3,14,24,45,15,0.4,107,NA,9.5,-11.18365506,22,1015.8,NE,3.4
2014,1,3,15,22,48,14,0.5,121,NA,8.9,-11.68965906,22,1016.1,NE,2.5
2014,1,3,16,15,40,14,0.4,127,NA,6,-11.15111361,28,1016.6,SE,1.2
2014,1,3,17,22,54,14,0.6,143,NA,3.1,-11.63315049,33,1017.5,SE,0.6
2014,1,3,18,27,69,15,1,157,NA,0.1,-9.886198797,47,1017.9,NW,0.9
2014,1,3,19,36,98,16,1.4,159,NA,-1.5,-8.693962225,58,1018.7,CV,0.5
2014,1,3,20,47,129,17,1.8,153,NA,-2.2,-9.134997424,59,1018.7,NW,0.7
2014,1,3,21,47,129,17,1.8,153,NA,-2.7,-7.978728174,67,1018.6,NW,0.9
2014,1,3,22,78,172,25,2.2,155,NA,-2.6,-8.674654229,63,1019,SW,1.8
2014,1,3,23,91,172,29,2,152,NA,-1.1,-7.456949223,62,1019.1,SW,1.5
2014,1,4,0,103,163,27,1.9,144,NA,-0.9,-7.267305791,62,1018.8,NE,0.8
2014,1,4,1,112,155,25,2,137,NA,-1.1,-7.880792662,60,1019.2,NE,1.4
2014,1,4,2,112,151,23,2.9,114,NA,-1.8,-5.998736596,73,1019.5,NE,1.4
2014,1,4,3,119,197,24,3,88,NA,-2.4,-5.543118078,79,1019,NW,1.3
2014,1,4,4,90,145,17,2.4,88,NA,-2,-4.660364702,82,1018.6,NE,1
2014,1,4,5,72,108,20,1.9,72,NA,-3.1,-5.10889048,86,1018.5,NE,1.2
2014,1,4,6,66,94,17,1.8,67,NA,-2.2,-4.223896929,86,1018.4,NE,1.3
2014,1,4,7,67,91,14,2,60,NA,-1.3,-4.471675322,79,1018.7,NE,1.4
2014,1,4,8,68,104,13,2,79,NA,-0.9,-5.31180457,72,1018.9,NE,1.7
2014,1,4,9,81,123,15,2.4,78,NA,0,-5.396442186,67,1018.8,NE,1.3
2014,1,4,10,83,122,17,2.1,76,NA,0.8,-4.631564124,67,1017.9,NE,1.7
2014,1,4,11,98,138,21,2,71,NA,1.3,-4.556387376,65,1016.5,NE,2.1
2014,1,4,12,117,146,27,2,73,NA,2,-4.096229439,64,1015.1,NE,2.3
